Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-06-08 17:58:01.451481,28.0,41.0,106,293,1
2025-06-08 17:58:06.471346,28.0,41.0,108,290,1
2025-06-08 17:58:11.515277,28.0,41.0,103,338,1
2025-06-08 17:58:16.531846,28.0,41.0,105,290,0
2025-06-08 17:58:21.548070,28.0,41.0,99,289,0
2025-06-08 17:58:26.564962,28.0,41.0,93,290,1
2025-06-08 17:58:31.581924,28.0,41.0,86,289,1
2025-06-08 17:58:36.598100,28.0,41.0,93,292,0
2025-06-08 17:58:41.614151,28.0,41.0,92,290,0
2025-06-08 17:58:46.630946,28.0,41.0,93,291,1
2025-06-08 17:58:51.647767,28.0,41.0,86,319,1
2025-06-08 17:58:56.663953,28.0,40.0,87,288,0
2025-06-08 17:59:01.680064,28.0,40.0,83,289,0
2025-06-08 17:59:06.705119,28.0,41.0,82,317,1
2025-06-08 17:59:11.721444,28.0,41.0,80,289,0
2025-06-08 17:59:16.737979,28.0,41.0,76,287,0
2025-06-08 17:59:21.762014,28.0,41.0,75,311,0
2025-06-08 17:59:26.779006,28.0,41.0,75,288,1
2025-06-08 17:59:31.804361,28.0,41.0,68,290,1
2025-06-08 17:59:36.820790,28.0,41.0,69,328,0
2025-06-08 17:59:41.837945,28.0,41.0,63,346,0
2025-06-08 17:59:46.856118,28.0,41.0,67,291,1
2025-06-08 17:59:51.872375,28.0,41.0,63,574,0
2025-06-08 17:59:56.888685,28.0,41.0,63,289,0
2025-06-08 18:00:01.904776,28.0,41.0,60,288,0
2025-06-08 18:00:06.920978,28.0,40.0,62,288,0
2025-06-08 18:00:11.937421,28.0,41.0,58,320,0
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-06-08 18:03:53.125391,27.0,42.0,48,288,0
2025-06-08 18:03:58.142441,27.0,42.0,47,286,1
2025-06-08 18:04:03.159395,27.0,42.0,50,286,1
2025-06-08 18:04:08.175538,27.0,42.0,47,286,0
2025-06-08 18:04:13.201898,27.0,42.0,47,321,0
2025-06-08 18:04:18.219210,27.0,42.0,48,285,1
2025-06-08 18:04:23.236084,27.0,42.0,44,288,1
2025-06-08 18:04:29.593413,27.0,42.0,46,285,1
2025-06-08 18:04:34.610882,27.0,42.0,44,283,1
2025-06-08 18:04:39.637133,27.0,42.0,48,328,0
2025-06-08 18:04:44.654543,27.0,42.0,46,287,1
2025-06-08 18:04:49.670692,27.0,42.0,45,283,0
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-06-08 18:07:03.241190,27.0,43.0,283,283,1
2025-06-08 18:07:08.257624,27.0,43.0,281,281,0
2025-06-08 18:07:13.273744,27.0,43.0,282,282,0
2025-06-08 18:07:18.290221,27.0,43.0,329,329,1
2025-06-08 18:07:23.316785,27.0,43.0,289,289,1
2025-06-08 18:07:28.333359,27.0,43.0,282,282,0
2025-06-08 18:07:33.349550,27.0,43.0,285,285,1
2025-06-08 18:07:38.365895,27.0,43.0,281,281,1
2025-06-08 18:07:43.382014,27.0,43.0,281,281,0
2025-06-08 18:07:48.406224,27.0,43.0,345,345,1
2025-06-08 18:07:53.422534,27.0,43.0,298,298,0
2025-06-08 18:07:58.438811,27.0,43.0,276,276,0
2025-06-08 18:08:03.455001,27.0,43.0,278,278,0
2025-06-08 18:08:08.471066,28.0,44.0,326,326,1
2025-06-08 18:08:13.497258,27.0,43.0,428,428,0
2025-06-08 18:08:18.513660,27.0,42.0,325,325,0
2025-06-08 18:08:23.529761,28.0,43.0,325,325,1
2025-06-08 18:08:28.545859,27.0,43.0,326,326,0
2025-06-08 18:08:33.572037,27.0,42.0,348,348,1
2025-06-08 18:08:38.588513,27.0,42.0,324,324,1
2025-06-08 18:08:43.608221,-1,-1,324,324,1
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-06-09 15:27:24.532615,25.0,44.0,60,60,0
2025-06-09 15:27:29.549834,25.0,44.0,57,57,1
2025-06-09 15:27:34.575959,25.0,43.0,94,94,0
2025-06-09 15:27:39.592226,25.0,43.0,59,59,0
2025-06-09 15:27:44.608318,25.0,43.0,58,58,0
2025-06-09 15:27:49.624713,25.0,43.0,59,59,0
2025-06-09 15:27:54.640950,25.0,43.0,91,91,0
2025-06-09 15:27:59.657242,25.0,43.0,59,59,0
2025-06-09 15:28:04.673588,25.0,43.0,59,59,0
2025-06-09 15:28:09.690399,25.0,43.0,60,60,1
2025-06-09 15:28:14.717474,25.0,43.0,74,74,1
2025-06-09 15:28:19.734958,25.0,44.0,58,58,1
2025-06-09 15:28:24.750978,25.0,44.0,59,59,0
2025-06-09 15:28:29.766976,25.0,44.0,59,59,0
2025-06-09 15:28:34.783066,25.0,43.0,60,60,0
2025-06-09 15:28:39.799287,25.0,43.0,59,59,0
2025-06-09 15:28:44.815343,25.0,43.0,61,61,0
2025-06-09 15:28:49.840605,25.0,42.0,91,91,1
2025-06-09 15:28:54.856942,25.0,42.0,60,60,0
2025-06-09 15:28:59.873540,25.0,42.0,410,410,0
2025-06-09 15:29:04.889577,25.0,42.0,480,480,0
2025-06-09 15:29:09.905600,25.0,42.0,480,480,0
2025-06-09 15:29:14.921874,25.0,43.0,388,388,1
2025-06-09 15:29:19.937860,25.0,43.0,417,417,1
2025-06-09 15:29:24.954407,25.0,43.0,386,386,0
2025-06-09 15:29:29.980552,25.0,43.0,391,391,0
2025-06-09 15:29:34.998039,25.0,42.0,360,360,0
2025-06-09 15:29:40.016776,25.0,41.0,393,393,0
2025-06-09 15:29:45.033627,25.0,41.0,351,351,0
2025-06-09 15:29:50.051877,25.0,41.0,348,348,0
2025-06-09 15:29:55.068454,25.0,40.0,347,347,0
2025-06-09 15:30:00.085147,25.0,40.0,346,346,0
2025-06-09 15:30:05.101424,25.0,40.0,386,386,0
2025-06-09 15:30:10.135170,25.0,39.0,393,393,0
2025-06-09 15:30:15.159387,26.0,41.0,348,348,1
2025-06-09 15:30:20.183335,25.0,40.0,344,344,0
2025-06-09 15:30:25.206945,25.0,40.0,345,345,0
2025-06-09 15:30:30.258866,26.0,41.0,345,345,1
2025-06-09 15:30:35.283994,26.0,41.0,344,344,1
2025-06-09 15:30:40.310225,26.0,41.0,374,374,0
2025-06-09 15:30:45.336170,26.0,40.0,336,336,0
2025-06-09 15:30:50.368042,26.0,40.0,336,336,0
2025-06-09 15:30:55.407343,25.0,39.0,340,340,0
2025-06-09 15:31:00.426542,26.0,40.0,336,336,0
2025-06-09 15:31:05.447589,26.0,40.0,335,335,0
2025-06-09 15:31:10.463633,26.0,40.0,334,334,0
2025-06-09 15:31:15.479621,26.0,40.0,334,334,0
Timestamp,Temp (C),Humidity (%),Light,Sound,Motion
2025-06-09 15:36:57.859346,27.0,36.0,361,62,0
2025-06-09 15:37:02.876472,27.0,36.0,353,66,0
2025-06-09 15:37:07.902384,28.0,37.0,355,97,0
2025-06-09 15:37:12.919528,28.0,37.0,20,237,0
2025-06-09 15:37:17.935483,28.0,37.0,14,64,0
2025-06-09 15:37:22.961569,27.0,36.0,13,94,0
2025-06-09 15:37:27.978186,28.0,37.0,358,65,0
2025-06-09 15:37:32.995644,28.0,37.0,361,66,0
2025-06-09 15:37:38.011617,28.0,38.0,358,65,0
2025-06-09 15:37:43.029453,27.0,36.0,361,64,0
2025-06-09 15:37:48.046603,28.0,37.0,355,64,0
2025-06-09 15:37:53.063365,28.0,37.0,357,62,0
2025-06-09 15:37:58.086001,28.0,37.0,359,223,0
2025-06-09 15:38:03.103691,28.0,37.0,356,66,0
2025-06-09 15:38:08.120165,28.0,37.0,355,66,0
2025-06-09 15:38:13.145967,28.0,38.0,356,104,0
2025-06-09 15:38:18.172526,28.0,38.0,347,83,0
2025-06-09 15:38:23.198552,28.0,38.0,344,91,0
2025-06-09 15:38:28.225391,28.0,37.0,346,106,0
2025-06-09 15:38:33.252184,28.0,38.0,341,68,0
2025-06-09 15:38:38.268524,28.0,37.0,348,66,0
2025-06-09 15:38:43.285092,28.0,38.0,351,67,0
2025-06-09 15:38:48.311011,28.0,38.0,350,122,0
2025-06-09 15:38:53.327522,28.0,38.0,356,66,0
2025-06-09 15:38:58.343491,28.0,37.0,355,66,0
2025-06-09 15:39:03.359497,28.0,37.0,351,68,0
2025-06-09 15:39:08.375497,28.0,37.0,217,66,0
2025-06-09 15:39:13.391465,28.0,37.0,6,68,0
2025-06-09 15:39:18.415607,28.0,37.0,212,130,0
2025-06-09 15:39:23.432588,28.0,37.0,1,68,1
2025-06-09 15:39:28.448593,28.0,37.0,0,68,0
2025-06-09 15:39:33.464581,28.0,37.0,347,67,0
2025-06-09 15:39:38.480514,28.0,37.0,357,68,0
2025-06-09 15:39:43.506892,28.0,37.0,352,189,0
2025-06-09 15:39:48.523511,28.0,37.0,332,67,1
2025-06-09 15:39:53.539491,28.0,37.0,327,67,0
2025-06-09 15:39:58.555479,28.0,37.0,367,68,0
2025-06-09 15:40:03.571502,28.0,37.0,355,112,1
2025-06-09 15:40:08.597318,28.0,37.0,367,258,0
2025-06-09 15:40:13.615888,28.0,37.0,368,70,0
2025-06-09 15:40:18.631894,28.0,37.0,368,68,0
2025-06-09 15:40:23.650559,28.0,37.0,360,108,0
2025-06-09 15:40:28.680066,28.0,37.0,365,106,0
2025-06-09 15:40:33.697280,28.0,36.0,360,130,0
2025-06-09 15:40:38.714151,28.0,37.0,367,70,0
2025-06-09 15:40:43.740910,28.0,36.0,364,102,0
2025-06-09 15:40:48.770707,28.0,36.0,357,69,0
2025-06-09 15:40:53.786909,28.0,36.0,360,69,0
2025-06-09 15:40:58.803244,28.0,37.0,360,68,0
2025-06-09 15:41:03.829105,28.0,37.0,358,111,0
2025-06-09 15:41:08.845436,28.0,37.0,359,69,0
2025-06-09 15:41:13.862401,28.0,37.0,358,71,0
2025-06-09 15:41:18.879581,28.0,36.0,359,70,0
2025-06-09 15:41:23.905360,28.0,36.0,355,82,0
2025-06-09 15:41:28.921646,28.0,36.0,352,71,0
2025-06-09 15:41:33.937671,28.0,36.0,355,69,0
2025-06-09 15:41:38.953660,28.0,36.0,354,69,0
2025-06-09 15:41:43.969689,28.0,36.0,357,69,0
2025-06-09 15:41:48.995846,28.0,36.0,363,83,0
2025-06-09 15:41:54.012183,28.0,36.0,358,69,0
2025-06-09 15:41:59.028822,28.0,36.0,357,72,0
2025-06-09 15:42:04.044855,28.0,36.0,348,70,0
2025-06-09 15:42:09.060912,28.0,36.0,357,71,0
2025-06-09 15:42:14.086794,28.0,35.0,363,101,0
2025-06-09 15:42:19.103634,28.0,35.0,363,71,0
2025-06-09 15:42:24.119651,28.0,35.0,362,72,0
2025-06-09 15:42:29.135610,28.0,35.0,361,72,0
2025-06-09 15:42:34.151613,28.0,35.0,360,71,0
2025-06-09 15:42:39.177528,28.0,35.0,361,97,0
2025-06-09 15:42:44.193898,28.0,35.0,367,72,0
2025-06-09 15:42:49.209872,28.0,35.0,369,72,0
2025-06-09 15:42:54.225838,28.0,36.0,369,72,0
2025-06-09 15:42:59.241852,28.0,37.0,370,72,0
2025-06-09 15:43:04.257895,28.0,37.0,366,72,0
2025-06-09 15:43:09.283974,28.0,36.0,367,98,0
2025-06-09 15:43:14.300199,28.0,36.0,364,74,0
2025-06-09 15:43:19.316257,28.0,36.0,365,73,0
2025-06-09 15:43:24.332285,28.0,36.0,363,73,0
2025-06-09 15:43:29.348230,28.0,36.0,369,74,0
2025-06-09 15:43:34.374005,28.0,36.0,368,111,0
2025-06-09 15:43:39.390207,28.0,36.0,370,73,0
2025-06-09 15:43:44.406344,28.0,36.0,368,73,0
2025-06-09 15:43:49.422302,28.0,36.0,369,72,0
2025-06-09 15:43:54.448659,28.0,36.0,355,74,0
2025-06-09 15:43:59.464885,28.0,36.0,360,73,0
2025-06-09 15:44:04.480848,28.0,36.0,364,72,0
